observation_id,photo_id,position,license_code,attribution,url,original_url,width,height,retrieved_at
44113074,69943371,0,cc-by-nc,"(c) Reuber Brandão, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/69943371/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/69943371/original.jpg,2048,2048,2026-09-13T02:26:12.474594+00:00
44113074,69943517,1,cc-by-nc,"(c) Reuber Brandão, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/69943517/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/69943517/original.jpg,2048,2048,2026-09-13T02:26:12.474594+00:00
44440526,70460207,0,cc-by-nc,"(c) Ricardo Ribeiro, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/70460207/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/70460207/original.jpeg,2048,1462,2026-09-13T02:26:12.474594+00:00
44484091,70529569,0,,"(c) Rodrigo Wilber Soria Auza, all rights reserved",https://static.inaturalist.org/photos/70529569/square.jpg,https://static.inaturalist.org/photos/70529569/original.jpg,1912,2048,2026-09-13T02:26:12.474594+00:00
44484091,70540238,1,,"(c) Rodrigo Wilber Soria Auza, all rights reserved",https://static.inaturalist.org/photos/70540238/square.jpg,https://static.inaturalist.org/photos/70540238/original.jpg,2048,1371,2026-09-13T02:26:12.474594+00:00
44484091,70540250,2,,"(c) Rodrigo Wilber Soria Auza, all rights reserved",https://static.inaturalist.org/photos/70540250/square.jpg,https://static.inaturalist.org/photos/70540250/original.jpg,2048,1104,2026-09-13T02:26:12.474594+00:00
44688223,70849573,0,cc-by,"(c) Michael Eisen, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/70849573/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/70849573/original.jpg,1200,800,2026-09-13T02:26:12.474594+00:00
44688223,70849581,1,cc-by,"(c) Michael Eisen, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/70849581/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/70849581/original.jpg,1200,800,2026-09-13T02:26:12.474594+00:00
44688223,70849586,2,cc-by,"(c) Michael Eisen, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/70849586/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/70849586/original.jpg,1200,800,2026-09-13T02:26:12.474594+00:00
45230084,71713163,0,cc-by-nc,"(c) Glenda Pozo, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/71713163/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/71713163/original.jpeg,2048,1536,2026-09-13T02:26:12.474594+00:00
45230084,71713179,1,cc-by-nc,"(c) Glenda Pozo, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/71713179/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/71713179/original.jpeg,2048,1536,2026-09-13T02:26:12.474594+00:00
45230084,71713194,2,cc-by-nc,"(c) Glenda Pozo, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/71713194/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/71713194/original.jpeg,2048,1536,2026-09-13T02:26:12.474594+00:00
45230084,71713207,3,cc-by-nc,"(c) Glenda Pozo, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/71713207/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/71713207/original.jpeg,2048,1536,2026-09-13T02:26:12.474594+00:00
45230084,71713227,4,cc-by-nc,"(c) Glenda Pozo, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/71713227/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/71713227/original.jpeg,2048,1536,2026-09-13T02:26:12.474594+00:00
45230084,71713239,5,cc-by-nc,"(c) Glenda Pozo, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/71713239/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/71713239/original.jpeg,2048,1536,2026-09-13T02:26:12.474594+00:00
45554625,72237319,0,cc-by-nc,"(c) dierley, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/72237319/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/72237319/original.jpeg,2048,1536,2026-09-13T02:26:12.474594+00:00
45710241,72493256,0,,"(c) Nancy Cox, all rights reserved",https://static.inaturalist.org/photos/72493256/square.jpeg,https://static.inaturalist.org/photos/72493256/original.jpeg,2048,1328,2026-09-13T02:26:12.474594+00:00
46052043,73042430,0,,"(c) Natalia Escobar, all rights reserved",https://static.inaturalist.org/photos/73042430/square.jpeg,https://static.inaturalist.org/photos/73042430/original.jpeg,2048,1344,2026-09-13T02:26:12.474594+00:00
