id,whole_body_count,whole_body_max_score,throat_count,throat_max_score,throat_portrait_count,throat_portrait_max_score,detections_json,is_target_region
11190576745,1,0.9283334016799927,2,0.03710870072245598,0,,"[{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.9283334016799927,""bbox_xyxy"":[884.9403076171875,323.4183654785156,4048.82861328125,2839.393310546875]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.03710870072245598,""bbox_xyxy"":[1216.9130859375,1081.111572265625,2732.335205078125,1929.8892822265625]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.0178799107670784,""bbox_xyxy"":[1171.0308837890625,1077.9554443359375,2741.649658203125,1935.364990234375]}]",0
11190617164,1,0.9486281871795654,1,0.946026623249054,2,0.3286246359348297,"[{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.9486281871795654,""bbox_xyxy"":[1150.455322265625,535.1956787109375,2998.943115234375,2293.7412109375]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.946026623249054,""bbox_xyxy"":[1437.6221923828125,884.2742919921875,2379.8046875,2190.989013671875]},{""class_id"":2,""class_name"":""throat_portrait"",""confidence"":0.3286246359348297,""bbox_xyxy"":[1442.1700439453125,885.7986450195312,2382.2607421875,2194.863525390625]},{""class_id"":2,""class_name"":""throat_portrait"",""confidence"":0.22607643902301788,""bbox_xyxy"":[1439.9561767578125,880.8314208984375,2380.538818359375,2188.197998046875]}]",0
11190623354,0,,0,,0,,[],0
11190624134,0,,0,,0,,[],0
11190624636,0,,0,,0,,[],0
11190626066,2,0.08749408274888992,1,0.1447879523038864,0,,"[{""class_id"":1,""class_name"":""throat"",""confidence"":0.1447879523038864,""bbox_xyxy"":[2060.5205078125,1386.50390625,2452.44482421875,1731.70263671875]},{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.08749408274888992,""bbox_xyxy"":[1528.74658203125,1087.472412109375,2658.55029296875,1980.5185546875]},{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.06184512749314308,""bbox_xyxy"":[210.1925048828125,1348.5400390625,1418.4783935546875,2013.17041015625]}]",0
11190729113,2,0.9144315123558044,1,0.9472593069076538,2,0.027359582483768463,"[{""class_id"":1,""class_name"":""throat"",""confidence"":0.9472593069076538,""bbox_xyxy"":[1863.61767578125,1296.4886474609375,2207.38134765625,1557.49072265625]},{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.9144315123558044,""bbox_xyxy"":[1734.39794921875,1106.1871337890625,3185.366943359375,1872.5072021484375]},{""class_id"":2,""class_name"":""throat_portrait"",""confidence"":0.027359582483768463,""bbox_xyxy"":[1898.2420654296875,1305.739990234375,2196.46826171875,1554.820556640625]},{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.024773770943284035,""bbox_xyxy"":[1717.39990234375,1102.033447265625,2835.847900390625,1840.3983154296875]},{""class_id"":2,""class_name"":""throat_portrait"",""confidence"":0.019932584837079048,""bbox_xyxy"":[1885.8592529296875,1296.7083740234375,2199.492431640625,1561.7239990234375]}]",0
11190729853,2,0.8871321678161621,0,,0,,"[{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.8871321678161621,""bbox_xyxy"":[996.716796875,651.6568603515625,3296.490478515625,1878.292236328125]},{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.02549237385392189,""bbox_xyxy"":[1000.1024780273438,658.0275268554688,3304.192626953125,1879.5712890625]}]",0
11324370934,2,0.10655923187732697,1,0.3632878065109253,1,0.2904258370399475,"[{""class_id"":1,""class_name"":""throat"",""confidence"":0.3632878065109253,""bbox_xyxy"":[453.2711486816406,456.6460876464844,491.0993347167969,503.80865478515625]},{""class_id"":2,""class_name"":""throat_portrait"",""confidence"":0.2904258370399475,""bbox_xyxy"":[452.52587890625,457.2567443847656,490.9613342285156,504.5819396972656]},{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.10655923187732697,""bbox_xyxy"":[774.617431640625,260.88873291015625,1023.7736206054688,733.4740600585938]},{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.03320285677909851,""bbox_xyxy"":[776.9594116210938,216.84390258789062,1023.8541259765625,734.863525390625]}]",0
11456566606,1,0.931117832660675,4,0.7383841276168823,2,0.6808098554611206,"[{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.931117832660675,""bbox_xyxy"":[585.4674682617188,105.513427734375,756.0638427734375,252.74185180664062]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.7383841276168823,""bbox_xyxy"":[601.3438720703125,133.88531494140625,658.724853515625,221.318115234375]},{""class_id"":2,""class_name"":""throat_portrait"",""confidence"":0.6808098554611206,""bbox_xyxy"":[602.6996459960938,132.6725311279297,658.661865234375,219.41091918945312]},{""class_id"":2,""class_name"":""throat_portrait"",""confidence"":0.13487954437732697,""bbox_xyxy"":[603.1115112304688,133.4342041015625,658.4522094726562,219.29534912109375]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.07249204069375992,""bbox_xyxy"":[601.7811889648438,132.58602905273438,658.5986938476562,220.45692443847656]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.012304754927754402,""bbox_xyxy"":[598.0446166992188,132.79934692382812,658.5170288085938,221.26904296875]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.010320094414055347,""bbox_xyxy"":[601.681884765625,134.23048400878906,658.7777709960938,221.25082397460938]}]",0
