source,encounter_id,photo_id,image_path,image_url,page_url,observed_at,observer,latitude,longitude,location_source,locality,license,quality_grade
inat,inat_186323605,325589861,data/sources/inat/images/186323605/325589861.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/325589861/original.jpg,https://www.inaturalist.org/observations/186323605,2023-07-27T09:29:00-05:00,Fabian Schneider,6.038770786,-67.4449009971,inat,Colombia,cc-by-nc,research
inat,inat_186965878,326857349,data/sources/inat/images/186965878/326857349.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/326857349/original.jpeg,https://www.inaturalist.org/observations/186965878,2022-08-15T12:47:00+08:00,ritaya,1.5762169934,103.7574079615,inat,,cc-by-nc,casual
inat,inat_187037679,327002430,data/sources/inat/images/187037679/327002430.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/327002430/original.jpg,https://www.inaturalist.org/observations/187037679,2018-07-25T16:14:00-04:00,Holly Greening,-17.7670273711,-57.2155871375,inat,"Mato Grosso, BR",cc-by-nc,research
inat,inat_187076919,327083615,data/sources/inat/images/187076919/327083615.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/327083615/original.jpg,https://www.inaturalist.org/observations/187076919,2023-09-03T17:05:00-04:00,dushenkov,-17.3327860985,-56.7752953253,inat,"Mato Grosso, BR",cc-by-nc,research
inat,inat_187410840,327736001,data/sources/inat/images/187410840/327736001.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/327736001/original.jpeg,https://www.inaturalist.org/observations/187410840,2023-09-25T16:36:00-04:00,Chris Payne,-16.6486388456,-56.8144994428,inat,"Poconé, BR-MT, BR",cc-by-nc,research
inat,inat_187410840,327736075,data/sources/inat/images/187410840/327736075.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/327736075/original.jpeg,https://www.inaturalist.org/observations/187410840,2023-09-25T16:36:00-04:00,Chris Payne,-16.6486388456,-56.8144994428,inat,"Poconé, BR-MT, BR",cc-by-nc,research
inat,inat_187410840,327736082,data/sources/inat/images/187410840/327736082.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/327736082/original.jpeg,https://www.inaturalist.org/observations/187410840,2023-09-25T16:36:00-04:00,Chris Payne,-16.6486388456,-56.8144994428,inat,"Poconé, BR-MT, BR",cc-by-nc,research
inat,inat_187551945,328013913,data/sources/inat/images/187551945/328013913.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/328013913/original.jpeg,https://www.inaturalist.org/observations/187551945,2023-09-27T06:50:00-04:00,Chris Payne,-17.2959859561,-56.6859713169,inat,Brazil,cc-by-nc,research
inat,inat_187551945,328013947,data/sources/inat/images/187551945/328013947.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/328013947/original.jpeg,https://www.inaturalist.org/observations/187551945,2023-09-27T06:50:00-04:00,Chris Payne,-17.2959859561,-56.6859713169,inat,Brazil,cc-by-nc,research
inat,inat_187551945,328013968,data/sources/inat/images/187551945/328013968.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/328013968/original.jpeg,https://www.inaturalist.org/observations/187551945,2023-09-27T06:50:00-04:00,Chris Payne,-17.2959859561,-56.6859713169,inat,Brazil,cc-by-nc,research
